model,kind,acc_mean,acc_std,macro_f1_mean,macro_f1_std,roc_auc_mean,roc_auc_std,tpr_strict_mean,tpr_strict_std
clf_logreg,classical,0.9988174156895402,0.0014260718996836482,0.9979479910583418,0.002467349811609036,0.9999805410732666,2.241889351683318e-05,0.9991549295774649,0.0018896349105631855
clf_hist_gbm,classical,0.9963975119388951,0.0018904628980028198,0.9937397681392403,0.003294416398325859,0.9998289533006128,0.0002170168411021595,0.988584686923019,0.0124140599347466
fusion_concat,neural,0.99621374736313,0.0036682064134450276,0.9934440721967945,0.0063414375479900085,0.9998825339498847,0.00015560110365025196,0.9953487191667116,0.003007712030502342
fusion_mlp,neural,0.99621374736313,0.0036682064134450276,0.9934440721967945,0.0063414375479900085,0.9998825339498847,0.00015560110365025196,0.9953487191667116,0.003007712030502342
fusion_gating,neural,0.9962145571641404,0.003542057684680221,0.9934412776713231,0.006123608750848634,0.9998674994328361,0.00019270730284579176,0.9985701342558274,0.0020112595213900657
clf_svm,classical,0.9961898151119788,0.0014801581412362487,0.9933367946472241,0.0025956172217499887,0.9999453509324645,5.1643818789803e-05,0.9962382382731569,0.002597893966737633
clf_mlp,classical,0.9952301275147338,0.002144475366341767,0.9917078068339794,0.0036951147642386734,0.999922703562142,3.115974236604019e-05,0.99362144385845,0.0026220491582547253
clf_xgboost,classical,0.9949691212780805,0.0015571241989731804,0.9912522665793316,0.002740847495012192,0.9996630942681529,0.0003963613990839125,0.9862290980584195,0.01287739065243115
rf_nela,single_modality,0.9947273792746909,0.0013784358214794022,0.9907523614485646,0.00246746382727709,0.9997550367942607,0.00025473953379209183,0.9789259631705548,0.01813658767494009
clf_gradient_boosting,classical,0.9944913089722316,0.0021745058441142565,0.9904264412979508,0.0037959442644163446,0.999741747514436,0.0002550403976290274,0.9781227126403953,0.019548311938510993
clf_random_forest,classical,0.9944878583166071,0.0013777493638059315,0.9903178336876165,0.002460242736480992,0.9998140574603193,0.00017858154015641163,0.9844985411855269,0.017674938889049877
fusion_attention,neural,0.991331583986438,0.007818258008479658,0.9852537203004097,0.01302819099206994,0.9996700557354036,0.00042546233045257225,0.9929549941397686,0.009733656290414304
rf_style,single_modality,0.8949357173938344,0.01010901434777209,0.7914213118504388,0.02361649083896298,0.9374283392907833,0.009759844229776823,0.5325636018247457,0.0810093410500507
rf_trace,single_modality,0.8561027718356342,0.012090208762031157,0.6230229487431301,0.05085335576946697,0.8778121377495133,0.04328493779626578,0.42083435646902084,0.03714769131901876
